# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID
LIFTING_SURFACE,StabHor,0,WUTDECXIUE
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,24,33
# x,y,z,u,w
9.000000000000000222e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
8.827803504801433609e-01, 0.000000000000000000e+00, -2.391207704525716640e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
8.580249081524004007e-01, 0.000000000000000000e+00, -5.748260230840957288e-03, 1.000000000000000000e+00, 9.595583006934514658e-02
8.231674688873784618e-01, 0.000000000000000000e+00, -1.031754181461087827e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
7.754958482760326843e-01, 0.000000000000000000e+00, -1.627721111348809022e-02, 1.000000000000000000e+00, 2.765358755368440558e-01
7.128364075620462481e-01, 0.000000000000000000e+00, -2.361580351038311543e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
6.346380262280056916e-01, 0.000000000000000000e+00, -3.197455879735819351e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
5.431197612908627015e-01, 0.000000000000000000e+00, -4.051224809279144884e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
4.437252250137295739e-01, 0.000000000000000000e+00, -4.792759682226632040e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
3.441733246809897673e-01, 0.000000000000000000e+00, -5.275727137305229186e-02, 1.000000000000000000e+00, 1.216336609715709338e+00
2.522704787375062985e-01, 0.000000000000000000e+00, -5.393599940034123075e-02, 1.000000000000000000e+00, 1.415838762408753171e+00
1.736813148080396663e-01, 0.000000000000000000e+00, -5.124665512341345514e-02, 1.000000000000000000e+00, 1.586533649582798633e+00
1.108883122903975005e-01, 0.000000000000000000e+00, -4.527841754356412562e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
6.359333035184128180e-02, 0.000000000000000000e+00, -3.692966306578970154e-02, 1.000000000000000000e+00, 1.827739635619072267e+00
2.995442131091938243e-02, 0.000000000000000000e+00, -2.681946099327135735e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
8.212976679806487448e-03, 0.000000000000000000e+00, -1.471918237303990185e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
8.212976679806253261e-03, 0.000000000000000000e+00, 1.471918237303970756e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
2.995442131091921936e-02, 0.000000000000000000e+00, 2.681946099327128796e-02, 1.000000000000000000e+00, 2.095955830069344827e+00
6.359333035184115690e-02, 0.000000000000000000e+00, 3.692966306578966684e-02, 1.000000000000000000e+00, 2.172260364380927733e+00
1.108883122903975282e-01, 0.000000000000000000e+00, 4.527841754356411869e-02, 1.000000000000000000e+00, 2.276535875536843889e+00
1.736813148080398606e-01, 0.000000000000000000e+00, 5.124665512341346207e-02, 1.000000000000000000e+00, 2.413466350417201589e+00
2.522704787375061874e-01, 0.000000000000000000e+00, 5.393599940034120299e-02, 1.000000000000000000e+00, 2.584161237591246607e+00
3.441733246809896007e-01, 0.000000000000000000e+00, 5.275727137305230574e-02, 1.000000000000000000e+00, 2.783663390284290440e+00
4.437252250137295184e-01, 0.000000000000000000e+00, 4.792759682226632734e-02, 1.000000000000000000e+00, 3.000000000000000000e+00
5.431197612908621464e-01, 0.000000000000000000e+00, 4.051224809279146966e-02, 1.000000000000000000e+00, 3.216336609715709116e+00
6.346380262280052476e-01, 0.000000000000000000e+00, 3.197455879735824902e-02, 1.000000000000000000e+00, 3.415838762408752949e+00
7.128364075620458040e-01, 0.000000000000000000e+00, 2.361580351038315012e-02, 1.000000000000000000e+00, 3.586533649582798411e+00
7.754958482760327954e-01, 0.000000000000000000e+00, 1.627721111348811103e-02, 1.000000000000000000e+00, 3.723464124463156111e+00
8.231674688873785728e-01, 0.000000000000000000e+00, 1.031754181461097541e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
8.580249081524005117e-01, 0.000000000000000000e+00, 5.748260230840999789e-03, 1.000000000000000000e+00, 3.904044169930655173e+00
8.827803504801432499e-01, 0.000000000000000000e+00, 2.391207704525757840e-03, 1.000000000000000000e+00, 3.958266880232111262e+00
9.000000000000000222e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
8.985466565173372278e-01, 5.000000000000000278e-02, 0.000000000000000000e+00, 1.500000000000000000e+00, 0.000000000000000000e+00
8.815183364365900553e-01, 5.000000000000000278e-02, -2.364638730030986687e-03, 1.500000000000000000e+00, 4.173311976788848798e-02
8.570379545791553255e-01, 5.000000000000000278e-02, -5.684390672720501803e-03, 1.500000000000000000e+00, 9.595583006934514658e-02
8.225678201948556367e-01, 5.000000000000000278e-02, -1.020290246111520138e-02, 1.500000000000000000e+00, 1.722603643809275942e-01
7.754258842569694554e-01, 5.000000000000000278e-02, -1.609635321222711163e-02, 1.500000000000000000e+00, 2.765358755368440558e-01
7.134626595509160341e-01, 5.000000000000000278e-02, -2.335340569360108004e-02, 1.500000000000000000e+00, 4.134663504172013671e-01
6.361331491205873823e-01, 5.000000000000000278e-02, -3.161928592183199660e-02, 1.500000000000000000e+00, 5.841612375912467181e-01
5.456317537938570883e-01, 5.000000000000000278e-02, -4.006211200287154717e-02, 1.500000000000000000e+00, 7.836633902842906618e-01
4.473416012531363783e-01, 5.000000000000000278e-02, -4.739506796868558219e-02, 1.500000000000000000e+00, 1.000000000000000000e+00
3.488958331463159479e-01, 5.000000000000000278e-02, -5.217107946890725545e-02, 1.500000000000000000e+00, 1.216336609715709338e+00
2.580141299355379059e-01, 5.000000000000000278e-02, -5.333671051811521291e-02, 1.500000000000000000e+00, 1.415838762408753171e+00
1.802981789386208511e-01, 5.000000000000000278e-02, -5.067724784426441698e-02, 1.500000000000000000e+00, 1.586533649582798633e+00
1.182028764489525124e-01, 5.000000000000000278e-02, -4.477532401530229939e-02, 1.500000000000000000e+00, 1.723464124463156111e+00
7.143339430971357151e-02, 5.000000000000000278e-02, -3.651933347616981296e-02, 1.500000000000000000e+00, 1.827739635619072267e+00
3.816825092480190945e-02, 5.000000000000000278e-02, -2.652146698223500562e-02, 1.500000000000000000e+00, 1.904044169930654951e+00
1.666837790070137271e-02, 5.000000000000000278e-02, -1.455563590222834838e-02, 1.500000000000000000e+00, 1.958266880232111484e+00
8.546656517337186676e-03, 5.000000000000000278e-02, 0.000000000000000000e+00, 1.500000000000000000e+00, 2.000000000000000000e+00
1.666837790070114719e-02, 5.000000000000000278e-02, 1.455563590222815409e-02, 1.500000000000000000e+00, 2.041733119767888294e+00
3.816825092480174292e-02, 5.000000000000000278e-02, 2.652146698223494317e-02, 1.500000000000000000e+00, 2.095955830069344827e+00
7.143339430971343273e-02, 5.000000000000000278e-02, 3.651933347616978520e-02, 1.500000000000000000e+00, 2.172260364380927733e+00
1.182028764489525263e-01, 5.000000000000000278e-02, 4.477532401530229245e-02, 1.500000000000000000e+00, 2.276535875536843889e+00
1.802981789386211009e-01, 5.000000000000000278e-02, 5.067724784426442391e-02, 1.500000000000000000e+00, 2.413466350417201589e+00
2.580141299355377393e-01, 5.000000000000000278e-02, 5.333671051811518515e-02, 1.500000000000000000e+00, 2.584161237591246607e+00
3.488958331463158369e-01, 5.000000000000000278e-02, 5.217107946890728321e-02, 1.500000000000000000e+00, 2.783663390284290440e+00
4.473416012531363228e-01, 5.000000000000000278e-02, 4.739506796868558913e-02, 1.500000000000000000e+00, 3.000000000000000000e+00
5.456317537938565332e-01, 5.000000000000000278e-02, 4.006211200287156105e-02, 1.500000000000000000e+00, 3.216336609715709116e+00
6.361331491205868272e-01, 5.000000000000000278e-02, 3.161928592183205211e-02, 1.500000000000000000e+00, 3.415838762408752949e+00
7.134626595509157010e-01, 5.000000000000000278e-02, 2.335340569360111126e-02, 1.500000000000000000e+00, 3.586533649582798411e+00
7.754258842569694554e-01, 5.000000000000000278e-02, 1.609635321222713245e-02, 1.500000000000000000e+00, 3.723464124463156111e+00
8.225678201948558588e-01, 5.000000000000000278e-02, 1.020290246111530026e-02, 1.500000000000000000e+00, 3.827739635619072267e+00
8.570379545791553255e-01, 5.000000000000000278e-02, 5.684390672720543436e-03, 1.500000000000000000e+00, 3.904044169930655173e+00
8.815183364365899443e-01, 5.000000000000000278e-02, 2.364638730031027453e-03, 1.500000000000000000e+00, 3.958266880232111262e+00
8.985466565173372278e-01, 5.000000000000000278e-02, 0.000000000000000000e+00, 1.500000000000000000e+00, 4.000000000000000000e+00
8.970933130346743223e-01, 1.000000000000000056e-01, 0.000000000000000000e+00, 2.000000000000000000e+00, 0.000000000000000000e+00
8.802563223930366387e-01, 1.000000000000000056e-01, -2.338069755536256733e-03, 2.000000000000000000e+00, 4.173311976788848798e-02
8.560510010059100283e-01, 1.000000000000000056e-01, -5.620521114600047184e-03, 2.000000000000000000e+00, 9.595583006934514658e-02
8.219681715023330337e-01, 1.000000000000000056e-01, -1.008826310761952623e-02, 2.000000000000000000e+00, 1.722603643809275942e-01
7.753559202379063375e-01, 1.000000000000000056e-01, -1.591549531096613304e-02, 2.000000000000000000e+00, 2.765358755368440558e-01
7.140889115397860420e-01, 1.000000000000000056e-01, -2.309100787681904465e-02, 2.000000000000000000e+00, 4.134663504172013671e-01
6.376282720131689619e-01, 1.000000000000000056e-01, -3.126401304630579275e-02, 2.000000000000000000e+00, 5.841612375912467181e-01
5.481437462968512531e-01, 1.000000000000000056e-01, -3.961197591295163856e-02, 2.000000000000000000e+00, 7.836633902842906618e-01
4.509579774925432383e-01, 1.000000000000000056e-01, -4.686253911510484399e-02, 2.000000000000000000e+00, 1.000000000000000000e+00
3.536183416116421285e-01, 1.000000000000000056e-01, -5.158488756476224679e-02, 2.000000000000000000e+00, 1.216336609715709338e+00
2.637577811335694578e-01, 1.000000000000000056e-01, -5.273742163588920895e-02, 2.000000000000000000e+00, 1.415838762408753171e+00
1.869150430692020637e-01, 1.000000000000000056e-01, -5.010784056511537188e-02, 2.000000000000000000e+00, 1.586533649582798633e+00
1.255174406075074967e-01, 1.000000000000000056e-01, -4.427223048704047315e-02, 2.000000000000000000e+00, 1.723464124463156111e+00
7.927345826758586123e-02, 1.000000000000000056e-01, -3.610900388654992438e-02, 2.000000000000000000e+00, 1.827739635619072267e+00
4.638208053868443648e-02, 1.000000000000000056e-01, -2.622347297119866083e-02, 2.000000000000000000e+00, 1.904044169930654951e+00
2.512377912159627011e-02, 1.000000000000000056e-01, -1.439208943141679492e-02, 2.000000000000000000e+00, 1.958266880232111484e+00
1.709331303467437335e-02, 1.000000000000000056e-01, 0.000000000000000000e+00, 2.000000000000000000e+00, 2.000000000000000000e+00
2.512377912159603766e-02, 1.000000000000000056e-01, 1.439208943141660063e-02, 2.000000000000000000e+00, 2.041733119767888294e+00
4.638208053868426300e-02, 1.000000000000000056e-01, 2.622347297119859491e-02, 2.000000000000000000e+00, 2.095955830069344827e+00
7.927345826758572245e-02, 1.000000000000000056e-01, 3.610900388654990356e-02, 2.000000000000000000e+00, 2.172260364380927733e+00
1.255174406075074967e-01, 1.000000000000000056e-01, 4.427223048704045927e-02, 2.000000000000000000e+00, 2.276535875536843889e+00
1.869150430692022580e-01, 1.000000000000000056e-01, 5.010784056511538576e-02, 2.000000000000000000e+00, 2.413466350417201589e+00
2.637577811335692912e-01, 1.000000000000000056e-01, 5.273742163588917425e-02, 2.000000000000000000e+00, 2.584161237591246607e+00
3.536183416116420175e-01, 1.000000000000000056e-01, 5.158488756476226067e-02, 2.000000000000000000e+00, 2.783663390284290440e+00
4.509579774925431273e-01, 1.000000000000000056e-01, 4.686253911510485093e-02, 2.000000000000000000e+00, 3.000000000000000000e+00
5.481437462968506980e-01, 1.000000000000000056e-01, 3.961197591295165937e-02, 2.000000000000000000e+00, 3.216336609715709116e+00
6.376282720131684068e-01, 1.000000000000000056e-01, 3.126401304630584133e-02, 2.000000000000000000e+00, 3.415838762408752949e+00
