ARPT_IDENT	HIGH_IDENT	LOW_IDENT	HIGH_HDG	LOW_HDG	LENGTH	RWY_WIDTH	SURFACE	PCN	HE_WGS_LAT	HE_WGS_DLAT	HE_WGS_LONG	HE_WGS_DLONG	HE_ELEV	HE_SLOPE	HE_TDZE	HE_DT	HE_DT_ELEV	HLGT_SYS_1	HLGT_SYS_2	HLGT_SYS_3	HLGT_SYS_4	HLGT_SYS_5	HLGT_SYS_6	HLGT_SYS_7	HLGT_SYS_8	LE_WGS_LAT	LE_WGS_DLAT	LE_WGS_LONG	LE_WGS_DLONG	LE_ELEV	LE_SLOPE	LE_TDZE	LE_DT	LE_DT_ELEV	LLGT_SYS_1	LLGT_SYS_2	LLGT_SYS_3	LLGT_SYS_4	LLGT_SYS_5	LLGT_SYS_6	LLGT_SYS_7	LLGT_SYS_8	HE_TRUE_HDG	LE_TRUE_HDG	CLD_RWY	HELAND_DIS	HE_TAKEOFF	LELAND_DIS	LE_TAKEOFF	CYCLE_DATE
US09777	22L	04R	225.0	45.0	08000	00200	ASP		N21184514	21.312539	W158033666	-158.060183	27.0	-0.2	U		U	01	05							N21175963	21.299897	W158044594	-158.079428	11.0	0.2	U		U	01	05	12						235.0	55.0		08000	08000	08000	08000	200606
US09777	22R	04L	225.0	45.0	04500	00200	ASP		N21185021	21.313947	W158034045	-158.061236	29.0	-0.2	U		U	01	05							N21182461	21.306836	W158041942	-158.072061	21.0	0.2	U		U	01	05							235.0	55.0		04500	04500	04500	04500	200606
US09777	29	11	288.0	108.0	06000	00200	ASP		N21180976	21.302711	W158035732	-158.065922	10.0	0.3	U		U	01	05							N21183769	21.310469	W158045334	-158.081483	30.0	-0.3	U		U	01	05							298.0	118.0		06000	06000	06000	06000	200606
US14909	24	06	237.0	57.0	05604	00295	ASP	027FBWT	N21291145	21.486514	W158015549	-158.032080	836.4	-0.4	U		U	01	05							N21284975	21.480486	W158025011	-158.047252	812.5	0.4	U	0584	U	01	05							247.0	67.0		05604	06204	05020	06204	200505
US36347	26	08	261.0	81.0	09007	00075	ASP		N21344533	21.579258	W158110250	-158.184028	10.2	0.0	11.0	1995	10.1									N21344689	21.579692	W158123792	-158.210533	14.2	0.0	12.0	1993	12.2									271.0	91.0		07012	09007	07014	09007	200505
US68340	22L	04R	223.0	43.0	09000	00150	ASP		N21194376	21.328822	W157542164	-157.906011	8.6	0.0	9.0		U	05	09	43						N21185010	21.313917	W157553769	-157.927136	8.1	0.0	9.0		U	05	09	15	43					233.0	53.0		09000	09200	09000	09215	200609
US68340	22R	04L	223.0	43.0	06952	00150	ASP		N21194745	21.329847	W157542522	-157.907006	7.7	0.0	10.0		U	06	09							N21190599	21.318331	W157552395	-157.923319	10.0	0.0	10.0		U	06	09	43	50					233.0	53.0		06952	07167	06952	06952	200609
US68340	26L	08R	260.0	80.0	12000	00200	ASP		N21182448	21.306800	W157543815	-157.910597	10.0	0.0	10.0		U	05	14	43						N21182449	21.306803	W157564506	-157.945850	10.0	0.0	10.0		U	05	09	11	43					270.0	90.0		12000	12700	12000	12700	200609
US68340	26R	08L	260.0	80.0	12300	00150	ASP		N21193088	21.325244	W157542554	-157.907094	8.6	0.0	9.0		U	05	09	43						N21193089	21.325247	W157563564	-157.943233	11.8	0.0	13.0		U	02	05	08	15	43				270.0	90.0		12300	13300	12300	12955	200609
US90227	22	04	222.0	42.0	07771	00200	ASP	054FAWT	N21272553	21.457092	W157453234	-157.758983	24.0	-0.1	24.0		U	05	09	13						N21263773	21.443814	W157463688	-157.776911	13.4	0.1	14.3		U	05	09	13	51	52				232.0	52.0		07771	07771	07771	07771	200605
